2018-02-04 22:08:16 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.getSpitterDetailService(98) - SpitterDetailService  initialized
2018-02-04 22:08:16 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.getAuthenticationProvider(211) - UserDetailsService initialized
2018-02-04 22:08:16 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.passwordEncoder(223) - BCryptPasswordEncoder  initialized
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.getAuthenticationProvider(213) - Password encriptinig
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.configureGlobalSecurity(200) - ConfigureGlobalSecurity user permit initialized
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.getTokenRepository(104) - HibernateTokenRepositoryImpl  initialized
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.getPersistentTokenBasedRememberMeServices(233) - PersistentTokenService  initialized
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] DEBUG com.mvc.spittr.web.SpittleController.<init>(53) - 2018-02-04T22:08:17.096 Constructor call
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.multipartResolver(92) - MultipartResolver initialized
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.getTransactionManager(165) - ***HIBERNATE*** - HibernateTransactionManager initialized - HIBERNATE -
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.getSimpleMessage(184) - SimpleMailMessage initialized
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.getJavaMailSender(207) - JavaMailMessage initialized
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.configure(170) - WebSecurityConfig$$EnhancerBySpringCGLIB$$c248785d::configure view permit
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.configure(171) - WebSecurityConfig$$EnhancerBySpringCGLIB$$c248785d initialized
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.addInterceptors(122) - Interceptor added urls: /* /**
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.addFormatters(104) - Converter initialized, it converts string values[Roles] to UserProfiles
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.configureDefaultServletHandling(110) - DefaultServletHandlerConfigurer inizialized
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(65) - InternalResourceViewResolver inizialized
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(70) - resolver setting prefix /WEB-INF/views/
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(72) - resolver setting suffix .jsp
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(75) - org.springframework.web.servlet.view.JstlView.class set as view class
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(82) - InternalResourceViewResolver for html inizialized
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(87) - resolver setting prefix /WEB-INF/views/
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(89) - resolver setting suffix .html
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(92) - org.springframework.web.servlet.view.JstlView.class set as view class
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.w.s.GenericServletDemoServlet.<clinit>(29) - ************************Start - GenericServletDemoServlet************************
2018-02-04 22:08:17 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.w.s.GenericServletDemoServlet.<clinit>(47) - ************************End - GenericServletDemoServlet************************
2018-02-04 22:08:32 [http-nio-8080-exec-8] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:08:32.762 - called url:/Spring-In-Action_WEBApp/
2018-02-04 22:08:35 [https-jsse-nio-8443-exec-7] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:08:35.738 - called url:/Spring-In-Action_WEBApp/login
2018-02-04 22:08:35 [https-jsse-nio-8443-exec-7] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(164) - AuthenticationTrustResolver is null flag value: true
2018-02-04 22:08:35 [https-jsse-nio-8443-exec-7] INFO  com.mvc.spittr.web.LoginController.loginPage(116) - login ok
2018-02-04 22:08:41 [https-jsse-nio-8443-exec-11] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:08:41.874 - called url:/Spring-In-Action_WEBApp/logout
2018-02-04 22:08:42 [https-jsse-nio-8443-exec-2] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:08:42.307 - called url:/Spring-In-Action_WEBApp/login
2018-02-04 22:08:42 [https-jsse-nio-8443-exec-2] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(167) - AuthenticationTrustResolver is not null value: true
2018-02-04 22:08:42 [https-jsse-nio-8443-exec-2] INFO  com.mvc.spittr.web.LoginController.loginPage(116) - login ok
2018-02-04 22:08:43 [https-jsse-nio-8443-exec-5] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:08:43.595 - called url:/Spring-In-Action_WEBApp/logout
2018-02-04 22:08:43 [https-jsse-nio-8443-exec-12] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:08:43.616 - called url:/Spring-In-Action_WEBApp/login
2018-02-04 22:08:43 [https-jsse-nio-8443-exec-12] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(167) - AuthenticationTrustResolver is not null value: true
2018-02-04 22:08:43 [https-jsse-nio-8443-exec-12] INFO  com.mvc.spittr.web.LoginController.loginPage(116) - login ok
2018-02-04 22:08:44 [https-jsse-nio-8443-exec-6] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:08:44.652 - called url:/Spring-In-Action_WEBApp/logout
2018-02-04 22:08:44 [https-jsse-nio-8443-exec-1] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:08:44.673 - called url:/Spring-In-Action_WEBApp/login
2018-02-04 22:08:44 [https-jsse-nio-8443-exec-1] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(167) - AuthenticationTrustResolver is not null value: true
2018-02-04 22:08:44 [https-jsse-nio-8443-exec-1] INFO  com.mvc.spittr.web.LoginController.loginPage(116) - login ok
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.w.c.ApacheServletInitializer.<clinit>(29) - ************************Start AppWebConfig************************
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.w.c.ApacheServletInitializer.<clinit>(83) - ************************End AppWebConfig************************
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.<clinit>(55) - ************************Start WebAppInitializer************************
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.<clinit>(161) - ************************End WebAppInitializer************************
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.w.c.SecurityWebApplicationInitializer.<clinit>(16) - 1 ************************SecurityWebApplicationInitializer Intizialized************************
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.getRootConfigClasses(66) - AppRootConfig configured
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.getServletConfigClasses(81) - AppWebConfig configured
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(118) - CustomizeRegistration initialized
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(128) - ***START*** Multipart initializing 
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(129) - Download Directory:/tmp
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(137) - Multipart uploads files at /home/sabaja/Scrivania/spring-hibernate-workspace/Spring-In-Action_WebApp/Downloads, maxFileSize=2097152, maxRequestSize=4194304, fileSizeThreshold=0
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(140) - ***END*** Multipart initialized 
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.w.c.ApacheServletInitializer.onStartup(37) - WebApplicationInitializer@ServletApacheInitializer instantiated
2018-02-04 22:12:59 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.w.c.ApacheServletInitializer.onStartup(52) - Servlet [com.mvc.spittr.web.servlet.GenericServletDemoServlet] was added
2018-02-04 22:13:00 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.<clinit>(59) - ************************AppRootConfig************************
2018-02-04 22:13:00 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.<clinit>(72) - ************************Start - WebSecurityConfig************************
2018-02-04 22:13:00 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebSecurityConfig.<clinit>(218) - ************************End - WebSecurityConfig************************
2018-02-04 22:13:00 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.<clinit>(49) - ************************Start AppWebConfig************************
2018-02-04 22:13:00 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.mvc.spittr.web.config.AppWebConfig.<clinit>(209) - ************************End AppWebConfig************************
2018-02-04 22:13:01 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.spittr.web.config.AppRootConfig.messageSource(74) - MessageSource initialized
